ID,Stav,Typ zprávy,Čas doručení,Čas přijetí,Předmět,Odesílatel,Adresa odesílatele,Adresát,Adresa příjemce,Naše spisová značka,Naše číslo jednací,Vaše spisová značka,Vaše číslo jednací
386179047,7,V,2016-07-18 07:28:43.748000,2016-07-18 07:36:55.238000,"Otevřená města, z. s. - pozvánka na první členskou schůzi","Otevřená města, z. s.","Malinovského náměstí 624/3, 60200 Brno, CZ",Statutární město Brno,"Dominikánské náměstí 196/1, 60200 Brno, CZ",,,,
386179048,7,V,2016-07-18 07:28:45.501000,2016-07-18 09:09:23.716000,"Otevřená města, z. s. - pozvánka na první členskou schůzi","Otevřená města, z. s.","Malinovského náměstí 624/3, 60200 Brno, CZ",Městská část Brno-Medlánky,"Hudcova 239/7, 62100 Brno, CZ",,,,
386179050,7,V,2016-07-18 07:28:47.005000,2016-07-18 08:01:04.644000,"Otevřená města, z. s. - pozvánka na první členskou schůzi","Otevřená města, z. s.","Malinovského náměstí 624/3, 60200 Brno, CZ",Městská část Brno-střed,"Dominikánská ul. 264/2, 60169 Brno, CZ",,,,
386179651,7,V,2016-07-18 07:28:48.472000,2016-07-18 08:06:47.134000,"Otevřená města, z. s. - pozvánka na první členskou schůzi","Otevřená města, z. s.","Malinovského náměstí 624/3, 60200 Brno, CZ",MĚSTO ČERNOŠICE,"Riegrova 1209, 25228 Černošice, CZ",,,,
386179652,7,V,2016-07-18 07:28:49.964000,2016-07-18 08:33:23.144000,"Otevřená města, z. s. - pozvánka na první členskou schůzi","Otevřená města, z. s.","Malinovského náměstí 624/3, 60200 Brno, CZ",Město Česká Lípa,"náměstí T. G. Masaryka 1/1, 47001 Česká Lípa, CZ",,,,
386179653,7,V,2016-07-18 07:28:51.461000,2016-07-18 08:04:01.227000,"Otevřená města, z. s. - pozvánka na první členskou schůzi","Otevřená města, z. s.","Malinovského náměstí 624/3, 60200 Brno, CZ",Město Nové Město na Moravě,"Vratislavovo náměstí 103, 59231 Nové Město na Moravě, CZ",,,,
386179654,7,V,2016-07-18 07:28:52.942000,2016-07-18 07:46:01.122000,"Otevřená města, z. s. - pozvánka na první členskou schůzi","Otevřená města, z. s.","Malinovského náměstí 624/3, 60200 Brno, CZ",Městská část Praha 5,"náměstí 14. října 1381/4, 15000 Praha 5, CZ",,,,
386180693,7,V,2016-07-18 07:37:06.163000,2016-07-18 11:24:08.296000,"Otevřená města, z. s. - pozvánka na první členskou schůzi","Otevřená města, z. s.","Malinovského náměstí 624/3, 60200 Brno, CZ",OBEC PSÁRY,"Pražská 137, 25244 Psáry, CZ",,,,
386180694,7,V,2016-07-18 07:37:07.629000,2016-07-18 07:39:40.450000,"Otevřená města, z. s. - pozvánka na první členskou schůzi","Otevřená města, z. s.","Malinovského náměstí 624/3, 60200 Brno, CZ",Město Kutná Hora,"Havlíčkovo náměstí 552/1, 28401 Kutná Hora, CZ",,,,
386180695,7,V,2016-07-18 07:37:09.776000,2016-07-18 08:30:55.122000,"Otevřená města, z. s. - pozvánka na první členskou schůzi","Otevřená města, z. s.","Malinovského náměstí 624/3, 60200 Brno, CZ",Městská část Praha 7,"nábřeží Kapitána Jaroše 1000/7, 17000 Praha 7, CZ",,,,
386180697,7,V,2016-07-18 07:37:11.298000,2016-07-18 08:34:20.196000,"Otevřená města, z. s. - pozvánka na první členskou schůzi","Otevřená města, z. s.","Malinovského náměstí 624/3, 60200 Brno, CZ",Městská část Praha-Ďáblice,"Květnová 553/52, 18200 Praha 8, CZ",,,,
